4313|Male|0|1|0|16|1|2|Fiber optic|0|0|0|0|1|0|Month-to-month|1|2|84.77086386575564|1390.3072398049085|0.9379957954527901|High|1
2982|Male|0|0|0|16|0|0|DSL|2|0|0|2|1|1|Month-to-month|0|0|83.45807125322166|1110.3838298575195|0.9306983145739252|High|1
5792|Male|0|0|0|11|1|2|Fiber optic|0|0|2|0|2|2|Month-to-month|1|0|97.85|1105.4|0.9180302022638515|High|1
5332|Female|0|0|0|12|1|2|Fiber optic|0|0|0|0|2|0|Month-to-month|1|2|91.83292404061831|1128.7526080073958|0.8888209431141254|High|1
681|Female|0|0|0|1|1|0|Fiber optic|0|0|0|0|1|1|Month-to-month|1|2|83.10127316302692|83.10127316302692|0.9513134495605192|High|1
1647|Female|0|0|0|1|1|0|DSL|0|0|0|0|0|0|Month-to-month|0|2|54.0344717498173|77.16348879921004|0.9336346070478806|High|1
6489|Male|0|0|0|6|1|0|Fiber optic|0|0|1|0|0|0|Month-to-month|0|0|75.31028028519745|463.5416656432818|0.9480742132069403|High|1
588|Female|0|1|0|18|1|0|Fiber optic|0|1|0|0|0|0|Month-to-month|1|2|82.72858539143958|1476.9111707695035|0.9470938070889838|High|1
1895|Female|0|0|1|10|1|2|Fiber optic|0|0|0|0|2|2|Month-to-month|0|2|95.2|930.4|0.7322861527365429|Medium|1
1096|Male|0|0|0|2|1|0|DSL|0|0|1|1|1|1|Month-to-month|0|2|76.39230255415436|160.53135913998668|0.9522099693093755|High|1
3940|Female|0|0|0|1|1|0|DSL|0|0|0|0|0|0|Month-to-month|0|2|51.21378163135452|51.21378163135452|0.9373113410526728|High|0
5682|Male|0|0|0|19|1|2|Fiber optic|0|0|0|0|0|0|Month-to-month|1|2|54.308058752175896|775.5061350635152|0.7774606333385027|Medium|0
342|Male|0|0|0|1|1|0|Fiber optic|0|0|0|0|0|0|Month-to-month|1|2|70.18971130550352|70.18971130550352|0.9169858838230731|High|1
2743|Male|0|0|0|6|1|0|Fiber optic|0|0|1|0|0|1|Month-to-month|0|2|83.02035943617838|501.47121462604997|0.9520648762882764|High|1
5967|Female|0|0|0|22|1|2|Fiber optic|1|0|0|0|2|1|Month-to-month|1|0|97.18566782434786|2258.7756885625995|0.9486216547727653|High|1
2890|Male|0|0|0|18|1|0|Fiber optic|0|1|2|0|0|0|Month-to-month|1|1|81.75017724425243|1477.3929754624025|0.9439275864853217|High|1
791|Male|0|0|0|14|1|0|Fiber optic|1|1|0|1|2|2|Month-to-month|0|2|101.14021852737952|1323.2064576817436|0.9524309130061035|High|1
3420|Female|0|0|0|24|1|0|Fiber optic|0|0|0|0|1|2|Month-to-month|1|2|89.3198307597134|2202.2955837265044|0.8418214255466576|High|1
2117|Male|0|0|0|1|1|1|Fiber optic|0|0|0|0|0|1|Month-to-month|0|3|84.12544202463445|84.12544202463445|0.951015955405063|High|1
4845|Male|0|0|0|19|1|0|Fiber optic|0|1|0|1|1|1|Month-to-month|0|0|95.06466722569643|1862.3450808484354|0.9527090989012242|High|1
2862|Male|1|1|0|3|1|0|Fiber optic|0|0|0|0|2|0|Month-to-month|1|2|80.4|224.05|0.7864477909925583|Medium|1
